Publication Year,,,Open Access Is Oa,,,Primary Topic Id,,,Authorships Institutions Lineage,,,Type,,
1988,1,,,,,Cloud Computing and Resource Management,1,,Northeastern University,2,,,,
1991,1,,,,,Advanced ceramic materials synthesis,1,,Oregon State University,2,,,,
1995,1,,,,,Network Traffic and Congestion Control,1,,Universiti Sains Malaysia,2,,,,
1997,1,,,,,Mobile Ad Hoc Networks,1,,Sultan Idris Education University,2,,,,
1998,1,,,,,Blockchain Technology Applications and Security,1,,Université du Québec à Montréal,2,,,,
2006,1,,,,,Urban Transport and Accessibility,1,,Karadeniz Technical University,2,,,,
2008,1,,,,,Traffic control and management,1,,Hunan University,2,,,,
,,,,,,Fire effects on ecosystems,1,,National Technical University of Athens,2,,,,
,,,,,,Software-Defined Networks and 5G,1,,Helmut Schmidt University,2,,,,
,,,,,,Digital Transformation in Industry,1,,Wuhan University of Technology,2,,,,
,,,,,,Electric Vehicles and Infrastructure,1,,Qazvin Islamic Azad University,2,,,,
,,,,,,"Logic, Reasoning, and Knowledge",1,,University of Washington,2,,,,
,,,,,,Petri Nets in System Modeling,1,,Norwegian University of Science and Technology,2,,,,
,,,,,,Water Systems and Optimization,1,,Beijing Jiaotong University,2,,,,
,,,,,,Advanced Graph Neural Networks,1,,Stellenbosch University,2,,,,
,,,,,,Traffic Prediction and Management Techniques,1,,University of Kurdistan,2,,,,
,,,,,,Caching and Content Delivery,1,,Lanzhou Jiaotong University,2,,,,
,,,,,,Consumer Retail Behavior Studies,1,,Université de technologie de belfort-montbéliard,2,,,,
,,,,,,Healthcare Operations and Scheduling Optimization,1,,Türkisch-Deutsche Universität,2,,,,
,,,,,,Big Data and Business Intelligence,1,,Palo Alto Institute,2,,,,
,,,,,,Machine Learning and Algorithms,1,,Institut Supérieur de Gestion de Tunis,2,,,,
,,,,,,Structural Integrity and Reliability Analysis,1,,Institut des Sciences de l'Information et de leurs Interactions,2,,,,
,,,,,,Vehicle emissions and performance,1,,Ferrari (Italy),2,,,,
,,,,,,Industrial Vision Systems and Defect Detection,1,,Oldham Council,2,,,,
,,,,,,Maritime Transport Emissions and Efficiency,1,,Universidade Federal de Catalão,2,,,,
,,,,,,Optimization and Search Problems,1,,University of Technology Malaysia,2,,,,
,,,,,,Scheduling and Timetabling Solutions,1,,Universitat Politècnica de València,2,,,,
,,,,,,Web Applications and Data Management,1,,Singapore Management University,2,,,,
,,,,,,Sustainable Industrial Ecology,1,,Eindhoven University of Technology,2,,,,
,,,,,,Legal Education and Practice Innovations,1,,KTH Royal Institute of Technology,2,,,,
,,,,,,Modular Robots and Swarm Intelligence,1,,Ruhr University Bochum,2,,,,
,,,,,,Adaptive Dynamic Programming Control,1,,Polytechnic José Antonio Echeverría,2,,,,
,,,,,,Healthcare and Environmental Waste Management,1,,ExxonMobil (United States),2,,,,
,,,,,,Industrial Engineering and Technologies,1,,Galatasaray University,2,,,,
,,,,,,Soil and Land Suitability Analysis,1,,Stanford University,2,,,,
,,,,,,Robotics and Automated Systems,1,,École de Technologie Supérieure,2,,,,
,,,,,,Economic Zones and Regional Development,1,,Université Claude Bernard Lyon 1,1,,,,
,,,,,,Organizational and Employee Performance,1,,Andhra University,1,,,,
,,,,,,Simulation and Modeling Applications,1,,Vienna University of Economics and Business,1,,,,
,,,,,,Advanced Research in Systems and Signal Processing,1,,Petro Mohyla Black Sea National University,1,,,,
,,,,,,,,,Sakarya University,1,,,,
,,,,,,,,,Thammasat University,1,,,,
,,,,,,,,,HEC Montréal,1,,,,
,,,,,,,,,"Jawaharlal Nehru Technological University, Hyderabad",1,,,,
,,,,,,,,,FPT University,1,,,,
,,,,,,,,,Université de Tours,1,,,,
,,,,,,,,,Jiangnan University,1,,,,
,,,,,,,,,Macau University of Science and Technology,1,,,,
,,,,,,,,,University of Nebraska–Lincoln,1,,,,
,,,,,,,,,Tongji University,1,,,,
,,,,,,,,,Abu Dhabi University,1,,,,
,,,,,,,,,General Motors (United States),1,,,,
,,,,,,,,,Diponegoro University,1,,,,
,,,,,,,,,Wrocław University of Science and Technology,1,,,,
,,,,,,,,,Mazandaran University of Science and Technology,1,,,,
,,,,,,,,,Uppsala University,1,,,,
,,,,,,,,,University of London,1,,,,
,,,,,,,,,University of Science and Technology of China,1,,,,
,,,,,,,,,Toko University,1,,,,
,,,,,,,,,United Parcel Service (United States),1,,,,
,,,,,,,,,Civil Aviation Administration of China,1,,,,
,,,,,,,,,Ministry of Health,1,,,,
,,,,,,,,,Georgia Institute of Technology,1,,,,
,,,,,,,,,"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",1,,,,
,,,,,,,,,National Development and Reform Commission,1,,,,
,,,,,,,,,United States Department of Defense,1,,,,
,,,,,,,,,Anadolu University,1,,,,
,,,,,,,,,Sabancı Üniversitesi,1,,,,
,,,,,,,,,Koç University,1,,,,
,,,,,,,,,Islamic Azad University South Tehran Branch,1,,,,
,,,,,,,,,Howard University,1,,,,
,,,,,,,,,North Carolina State University,1,,,,
,,,,,,,,,Université Le Havre Normandie,1,,,,
,,,,,,,,,VSB - Technical University of Ostrava,1,,,,
,,,,,,,,,Electronics and Telecommunications Research Institute,1,,,,
,,,,,,,,,Hong Kong Polytechnic University,1,,,,
,,,,,,,,,Gümüşhane University,1,,,,
,,,,,,,,,Cairo University,1,,,,
,,,,,,,,,Minzu University of China,1,,,,
,,,,,,,,,University of Shanghai for Science and Technology,1,,,,
,,,,,,,,,University of Electronic Science and Technology of China,1,,,,
,,,,,,,,,University of Applied Sciences and Arts of Southern Switzerland,1,,,,
,,,,,,,,,Shandong University,1,,,,
,,,,,,,,,University of Alberta,1,,,,
,,,,,,,,,University of Hildesheim,1,,,,
,,,,,,,,,University of South Carolina,1,,,,
,,,,,,,,,Korea Advanced Institute of Science and Technology,1,,,,
,,,,,,,,,Naval Academy,1,,,,
,,,,,,,,,Sun Yat-sen University,1,,,,
,,,,,,,,,Amirkabir University of Technology,1,,,,
,,,,,,,,,Chongqing University,1,,,,
,,,,,,,,,Universität Hamburg,1,,,,
,,,,,,,,,Jinan University,1,,,,
,,,,,,,,,University of Sargodha,1,,,,
,,,,,,,,,Universidade Federal Fluminense,1,,,,
,,,,,,,,,Gansu Agricultural University,1,,,,
,,,,,,,,,Fordham University,1,,,,
,,,,,,,,,National University of Singapore,1,,,,
,,,,,,,,,Shiraz University,1,,,,
,,,,,,,,,City University of Hong Kong,1,,,,
,,,,,,,,,Zhejiang University of Science and Technology,1,,,,
,,,,,,,,,University of the Punjab,1,,,,
,,,,,,,,,University of Alabama,1,,,,
,,,,,,,,,ITMO University,1,,,,
,,,,,,,,,Universidad Publica de Navarra,1,,,,
,,,,,,,,,Erzincan Binali Yıldırım University,1,,,,
,,,,,,,,,Can Tho University,1,,,,
,,,,,,,,,King's College London,1,,,,
,,,,,,,,,Hebei University of Technology,1,,,,
,,,,,,,,,Universidad de Salamanca,1,,,,
,,,,,,,,,King Abdulaziz University,1,,,,
,,,,,,,,,University of Toronto,1,,,,
,,,,,,,,,Université Lumière Lyon 2,1,,,,
,,,,,,,,,Durham University,1,,,,
,,,,,,,,,Zagazig University,1,,,,
,,,,,,,,,Universidad de Guadalajara,1,,,,
,,,,,,,,,University of Trento,1,,,,
,,,,,,,,,Pertamina (Indonesia),1,,,,
,,,,,,,,,Jilin University,1,,,,
,,,,,,,,,Shahid Chamran University of Ahvaz,1,,,,
,,,,,,,,,Petrozavodsk State University,1,,,,
,,,,,,,,,Hong Kong University of Science and Technology,1,,,,
,,,,,,,,,Université de Lyon,1,,,,
,,,,,,,,,Harbin Institute of Technology,1,,,,
,,,,,,,,,Kingston University,1,,,,
,,,,,,,,,Cornell University,1,,,,
,,,,,,,,,Paderborn University,1,,,,
,,,,,,,,,Hainan University,1,,,,
,,,,,,,,,Aix-Marseille Université,1,,,,
,,,,,,,,,Université de Lille,1,,,,
,,,,,,,,,Imam Mohammad ibn Saud Islamic University,1,,,,
,,,,,,,,,Izmir Kâtip Çelebi University,1,,,,
,,,,,,,,,Beijing Normal University,1,,,,
,,,,,,,,,Universitas Sumatera Utara,1,,,,
,,,,,,,,,Universidad de Zaragoza,1,,,,
,,,,,,,,,China University of Mining and Technology,1,,,,
,,,,,,,,,University of South Florida,1,,,,
,,,,,,,,,Dalle Molle Institute for Artificial Intelligence Research,1,,,,
,,,,,,,,,Military University of Technology in Warsaw,1,,,,
,,,,,,,,,Université de Haute-Alsace,1,,,,
,,,,,,,,,Government of the Republic of Korea,1,,,,
,,,,,,,,,Bouygues (France),1,,,,
,,,,,,,,,"Academic Center for Education, Culture and Research",1,,,,
,,,,,,,,,Franche-Comté Électronique Mécanique Thermique et Optique - Sciences et Technologies,1,,,,
,,,,,,,,,China University of Geosciences,1,,,,
,,,,,,,,,Yangon University of Economics,1,,,,
,,,,,,,,,United States Department of the Navy,1,,,,
,,,,,,,,,National University Odesa Law Academy,1,,,,
,,,,,,,,,University of Pembangunan Nasional Veteran Jawa Timur,1,,,,
,,,,,,,,,Sichuan International Studies University,1,,,,
,,,,,,,,,University of Florida,1,,,,
,,,,,,,,,University of Jinan,1,,,,
,,,,,,,,,Naval Postgraduate School,1,,,,
,,,,,,,,,University of Gafsa,1,,,,
,,,,,,,,,Zhengzhou University,1,,,,
,,,,,,,,,University of Warwick,1,,,,
,,,,,,,,,Vidyasagar University,1,,,,
,,,,,,,,,Ege University,1,,,,
,,,,,,,,,Military Institute of Engineering,1,,,,
,,,,,,,,,Azerbaijan State University of Economics,1,,,,
,,,,,,,,,"Laboratoire d'Automatique, de Mécanique et d'Informatique Industrielles et Humaines",1,,,,
,,,,,,,,,Eskişehir City Hospital,1,,,,
,,,,,,,,,Eskisehir Technical University,1,,,,
,,,,,,,,,Deen Dayal Upadhyay Hospital,1,,,,
,,,,,,,,,CNRS Ingénierie,1,,,,
,,,,,,,,,Jiangsu University of Science and Technology,1,,,,
,,,,,,,,,University of Singaperbangsa Karawang,1,,,,
,,,,,,,,,Shandong Management University,1,,,,
,,,,,,,,,Milli Savunma Üniversitesi,1,,,,
,,,,,,,,,Shandong Jiaotong University,1,,,,
,,,,,,,,,University of Jeddah,1,,,,
,,,,,,,,,ExxonMobil (Germany),1,,,,
,,,,,,,,,Khwaja Fareed University of Engineering and Information Technology,1,,,,
,,,,,,,,,Universitas Islam Negeri Sultan Syarif Kasim Riau,1,,,,
,,,,,,,,,Jingdong (China),1,,,,
